10022,T1008,P1004,hanng,af,High,Created,2026-09-01,2026-09-30,arafatanowar
10020,T1004,P1003,ERWFG,FWEF,High,Created,2026-06-01,2026-06-30,arafatanowar
10005,T1002,P1002,Footer,dewjndf,High,Deleted,2026-02-12,2026-03-13,arafatanowar
10003,T1003,P1001,Add Nav Bar,Add nav bar to menu,Medium,Created,2026-06-12,2026-07-13,arafatanowar
10002,T1002,P1001,Hukhha,afje,Medium,Deleted,2026-02-12,2026-03-12,arafatanowar
10007,T1004,P1001,F,WERF,Medium,Created,2026-02-28,2026-07-30,arafatanowar
10021,T1007,P1004,Faang,few,Medium,Created,2026-12-01,2026-12-31,arafatanowar
10009,T1001,P1003,GERGERGER ERTGERGE,WFW,Medium,Deleted,2026-02-25,2026-03-01,arafatanowar
10001,T1001,P1001,FNWEFNWEIUFHWIUEFWEUIFBWEGIFUW,WEF,Medium,Deleted,2026-12-20,2026-12-31,arafatanowar
10004,T1001,P1002,Menu,FEWFW,Medium,Deleted,2026-02-13,2026-12-13,arafatanowar
10018,T1005,P1002,EWU,WEF,Medium,Created,2026-02-01,2026-02-20,arafatanowar
10012,T1002,P1004,WEF,WFE,Medium,Deleted,2026-04-01,2026-04-20,arafatanowar
10013,T1003,P1004,FWE,WFW,Medium,Created,2026-02-10,2026-02-15,arafatanowar
10014,T1004,P1004,FWE,EWF,Medium,Created,2026-07-01,2026-07-30,arafatanowar
10015,T1005,P1004,WEF,WFW,Medium,Created,2026-12-01,2026-12-30,arafatanowar
10016,T1006,P1004,WEF,WE,Medium,Deleted,2026-09-01,2026-09-30,arafatanowar
10017,T1003,P1003,Joker,jbrfvgw,Medium,Created,2026-03-20,2026-03-25,arafatanowar
10019,T1006,P1002,ERGF,3WEF,Low,Deleted,2026-03-01,2026-03-20,arafatanowar
10010,T1002,P1003,haderef,EWF,Low,Deleted,2026-06-01,2026-06-30,arafatanowar
10008,T1004,P1002,FWE,FWEF,Low,Created,2026-01-31,2026-02-15,arafatanowar
10006,T1003,P1002,Main Menu,Make a Menu,Low,Created,2026-02-12,2026-05-31,arafatanowar
10023,T1007,P1002,Paang,bhge,Low,Created,2026-08-01,2026-08-30,arafatanowar
10011,T1001,P1004,Baksha,This is a new description,Low,Deleted,2026-05-01,2026-05-30,arafatanowar
