10001,T1001,P1001,Open_Account,Create account,High,Completed,2026-08-01,2026-08-05,demo
10002,T1002,P1001,Deposit_Module,Implement deposit,High,In_Progress,2026-08-06,2026-08-15,demo
10003,T1003,P1001,Withdraw_Module,Implement withdrawal,Medium,Completed,2026-08-07,2026-08-16,demo
10004,T1004,P1002,Menu_System,Create menu,Medium,Completed,2026-08-01,2026-08-10,demo
10005,T1005,P1002,Order_System,Implement orders,High,In_Progress,2026-08-09,2026-08-20,demo
10006,T1006,P1003,Tour_Packages,Create packages,High,Completed,2026-08-01,2026-08-12,demo
10007,T1007,P1003,Booking_System,Implement booking,Medium,Planning,2026-08-10,2026-08-25,demo
10008,T1008,P1003,Payment_Module,Implement payment,High,Completed,2026-08-11,2026-08-28,demo
10009,T1009,P1004,Project_Dashboard,Create dashboard,High,Completed,2026-08-01,2026-08-10,demo
10010,T1010,P1004,Task_Module,Implement tasks,High,Completed,2026-08-05,2026-08-15,demo
10011,T1011,P1004,Report_Module,Implement reports,Medium,In_Progress,2026-08-08,2026-08-20,demo
10012,T1012,P1004,Search_Module,Implement search,Medium,Completed,2026-08-09,2026-08-18,demo
10013,T1013,P1005,Medicine_Catalog,Create catalog,High,Completed,2026-08-01,2026-08-10,demo
10014,T1014,P1005,Order_Module,Implement orders,High,Completed,2026-08-05,2026-08-15,demo
10015,T1015,P1005,Prescription_Module,Implement prescriptions,Medium,In_Progress,2026-08-07,2026-08-20,demo
