10001,T1001,P1001,Design_System_Architecture,Create_the_initial_system_architecture_and_project_structure.,High,Completed,2026-07-20,2026-07-22,arafatanowar
10002,T1002,P1001,Implement_User_Login,Develop_the_user_authentication_and_login_module.,High,Deleted,2026-07-23,2026-07-28,arafatanowar
10016,T1002,P1005,Student_Registration,Implement_the_student_registration_module.,High,Deleted,2026-07-16,2026-07-25,arafatanowar
10004,T1004,P1001,Build_Dashboard,Create_the_main_project_management_dashboard.,High,Planning,2026-07-29,2026-08-05,arafatanowar
10013,T1002,P1004,Implement_Chatbot,Develop_the_customer_support_chatbot_logic.,High,Deleted,2026-07-30,2026-08-15,arafatanowar
10006,T1001,P1002,Create_Home_Page,Design_and_implement_the_portfolio_home_page.,High,In_Progress,2026-07-22,2026-07-28,arafatanowar
10012,T1001,P1004,Build_Chat_Interface,Develop_the_user_interface_for_the_AI_chatbot.,High,In_Progress,2026-07-19,2026-07-29,arafatanowar
10009,T1001,P1003,Design_Database,Create_database_tables_for_expense_records.,High,Planning,2026-07-25,2026-08-02,arafatanowar
10010,T1002,P1003,Create_Expense_Form,Develop_the_expense_entry_form.,Medium,Deleted,2026-08-03,2026-08-10,arafatanowar
10015,T1001,P1005,Create_Student_Table,Create_database_tables_for_student_records.,Medium,Completed,2026-07-10,2026-07-15,arafatanowar
10007,T1002,P1002,Add_About_Section,Create_the_about_me_section_for_the_website.,Medium,Deleted,2026-07-29,2026-08-03,arafatanowar
10014,T1003,P1004,Add_Response_System,Implement_the_automated_response_system.,Medium,Planning,2026-08-16,2026-08-25,arafatanowar
10003,T1003,P1001,Create_Database,Design_and_implement_the_project_database.,Medium,Pending,2026-07-24,2026-07-30,arafatanowar
10005,T1005,P1001,Testing,Test_all_project_management_features_and_fix_bugs.,Low,Pending,2026-08-06,2026-08-12,arafatanowar
10011,T1003,P1003,Expense_Report,Generate_monthly_expense_reports.,Low,Pending,2026-08-11,2026-08-20,arafatanowar
10008,T1003,P1002,Add_Contact_Page,Create_a_contact_page_for_the_portfolio_website.,Low,Planning,2026-08-04,2026-08-10,arafatanowar
10017,T1003,P1005,Student_Search,Implement_student_search_functionality.,Low,Planning,2026-07-26,2026-08-05,arafatanowar
